session,position,pair_id,player_prediction,player_correct,player_close_call,response_time_ms,legacy_primary_robot_prediction,legacy_primary_robot_correct,gemini_prediction,gemini_correct,gemini_close_call,gpt56_prediction,gpt56_correct,gpt56_close_call,qwen_max_prediction,qwen_max_correct,qwen_max_close_call,claude_prediction,claude_correct,claude_close_call,qwen_flash_prediction,qwen_flash_correct,qwen_flash_close_call,deepseek_prediction,deepseek_correct,deepseek_close_call
S001,1,738,X,1,0,12993,X,1,X,1,0,X,1,0,X,1,0,X,1,1,X,1,0,X,1,1
S001,2,423,Y,1,0,12915,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,Y,1,0,Y,1,0
S001,3,1073,X,0,0,10545,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,1
S001,4,809,X,1,0,10378,Y,0,Y,0,1,Y,0,0,X,1,1,Y,0,1,Y,0,0,Y,0,1
S001,5,627,Y,0,0,17764,X,1,X,1,0,X,1,0,X,1,0,X,1,0,X,1,0,X,1,1
S001,6,583,Y,1,0,11029,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,X,0,1,X,0,1
S001,7,1056,X,1,0,3847,X,1,X,1,0,X,1,0,X,1,0,Y,0,1,X,1,0,X,1,1
S001,8,850,X,0,0,9670,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0
S001,9,945,Y,1,0,8533,X,0,X,0,0,X,0,0,X,0,0,X,0,1,X,0,0,X,0,1
S001,10,567,Y,1,0,6357,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,Y,1,0,X,0,1
S001,11,960,X,1,0,12348,X,1,X,1,0,X,1,0,X,1,0,Y,0,1,X,1,0,Y,0,1
S001,12,193,Y,0,0,6911,X,1,X,1,0,X,1,0,X,1,0,X,1,1,X,1,0,X,1,0
S001,13,480,X,0,0,12651,Y,1,Y,1,0,X,0,0,Y,1,0,X,0,1,Y,1,0,Y,1,0
S001,14,997,Y,1,0,6768,Y,1,Y,1,1,Y,1,1,Y,1,1,X,0,1,Y,1,1,Y,1,1
S001,15,238,Y,0,0,5354,X,1,X,1,0,X,1,0,X,1,0,X,1,1,X,1,0,X,1,0
S001,16,271,Y,1,0,11708,Y,1,Y,1,1,X,0,0,Y,1,1,X,0,1,X,0,0,X,0,0
S001,17,1042,X,1,0,5377,X,1,X,1,0,X,1,0,X,1,0,Y,0,1,Y,0,0,X,1,1
S001,18,371,Y,0,0,6794,X,1,X,1,0,X,1,0,Y,0,0,Y,0,1,X,1,0,Y,0,1
S001,19,136,Y,1,0,9824,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,Y,1,0,Y,1,0
S001,20,1116,X,0,0,6354,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,1
S002,1,401,X,1,0,20770,Y,0,Y,0,0,X,1,1,Y,0,0,Y,0,0,Y,0,0,Y,0,0
S002,2,717,Y,1,0,21933,Y,1,Y,1,1,Y,1,1,Y,1,0,X,0,1,Y,1,0,Y,1,1
S002,3,815,X,1,0,12593,X,1,X,1,0,X,1,0,X,1,0,X,1,0,X,1,0,X,1,1
S002,4,411,Y,1,0,10386,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0
S002,5,879,Y,0,0,16121,X,1,X,1,0,X,1,0,X,1,0,X,1,0,X,1,0,X,1,1
S002,6,723,X,1,0,14318,X,1,X,1,0,X,1,0,X,1,1,X,1,1,Y,0,0,X,1,1
S002,7,915,X,0,0,17055,Y,1,Y,1,0,X,0,0,Y,1,0,X,0,1,X,0,0,Y,1,1
S002,8,515,Y,1,0,11161,X,0,X,0,1,X,0,0,X,0,0,Y,1,1,X,0,0,Y,1,0
S002,9,662,Y,1,0,7372,Y,1,Y,1,0,X,0,0,Y,1,1,X,0,1,X,0,0,Y,1,1
S002,10,541,X,0,0,16084,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,X,0,0,X,0,0
S002,11,129,Y,0,0,10284,Y,0,Y,0,1,X,1,0,Y,0,1,Y,0,1,Y,0,0,X,1,0
S002,12,534,X,1,0,14522,X,1,X,1,0,X,1,0,X,1,0,X,1,1,X,1,0,X,1,0
S002,13,1090,Y,1,0,9388,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,Y,1,0,Y,1,1
S002,14,829,X,1,0,6031,Y,0,Y,0,0,Y,0,1,Y,0,0,Y,0,1,Y,0,0,Y,0,1
S002,15,878,X,1,0,7394,X,1,X,1,0,X,1,0,X,1,0,X,1,0,Y,0,0,X,1,1
S002,16,690,X,1,0,8626,X,1,X,1,0,X,1,0,X,1,0,Y,0,1,X,1,0,Y,0,1
S002,17,553,Y,1,0,9358,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,Y,1,0,Y,1,1
S002,18,317,X,0,0,10443,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0
S002,19,906,Y,0,0,11263,Y,0,Y,0,1,Y,0,1,X,1,0,X,1,1,Y,0,0,X,1,1
S002,20,473,Y,0,0,8223,X,1,X,1,1,X,1,1,X,1,0,X,1,1,X,1,0,Y,0,1
S003,1,982,X,1,0,23722,X,1,X,1,0,X,1,0,Y,0,0,X,1,1,Y,0,0,X,1,1
S003,2,517,X,1,0,11047,X,1,X,1,0,X,1,0,X,1,0,X,1,1,X,1,0,X,1,0
S003,3,3,X,0,0,28918,Y,1,Y,1,1,X,0,1,Y,1,0,X,0,1,Y,1,0,Y,1,1
S003,4,358,X,1,0,9441,Y,0,Y,0,0,Y,0,1,Y,0,0,Y,0,1,Y,0,0,Y,0,0
S003,5,611,X,0,0,13877,X,0,X,0,0,X,0,0,Y,1,0,X,0,1,X,0,0,Y,1,1
S003,6,49,Y,0,0,11016,X,1,X,1,1,X,1,0,Y,0,0,X,1,1,Y,0,0,X,1,1
S003,7,593,Y,1,0,18217,Y,1,Y,1,0,X,0,1,X,0,1,Y,1,1,Y,1,0,X,0,0
S003,8,82,X,1,0,9801,X,1,X,1,1,X,1,1,Y,0,0,Y,0,1,X,1,0,X,1,1
S003,9,491,X,0,0,5946,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0
S003,10,432,Y,1,0,13504,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0
S003,11,188,Y,0,0,11319,X,1,X,1,1,X,1,0,X,1,0,Y,0,1,Y,0,0,X,1,1
S003,12,996,X,0,0,17923,Y,1,Y,1,1,Y,1,1,Y,1,0,Y,1,1,Y,1,1,X,0,1
S003,13,147,Y,1,0,17425,Y,1,Y,1,1,X,0,1,Y,1,1,Y,1,1,X,0,0,X,0,0
S003,14,897,X,1,0,5133,X,1,X,1,0,X,1,0,X,1,0,X,1,1,Y,0,1,X,1,1
S003,15,1140,Y,0,0,14394,X,1,X,1,1,Y,0,0,Y,0,0,Y,0,1,Y,0,0,Y,0,1
S003,16,858,X,1,0,7066,X,1,X,1,0,Y,0,0,Y,0,0,Y,0,1,Y,0,0,X,1,1
S003,17,193,Y,0,0,8462,X,1,X,1,0,X,1,0,X,1,0,X,1,1,X,1,0,X,1,0
S003,18,81,X,1,0,5864,X,1,X,1,0,X,1,1,X,1,0,X,1,0,X,1,0,X,1,0
S003,19,927,Y,0,0,5903,X,1,X,1,0,X,1,0,X,1,0,X,1,1,X,1,0,X,1,1
S003,20,488,X,1,0,12427,X,1,X,1,0,X,1,0,X,1,1,X,1,1,X,1,0,X,1,0
S004,1,611,X,0,,33270,Y,1,Y,1,,X,0,,X,0,,X,0,,X,0,,X,0,
S004,2,958,X,1,,8295,X,1,X,1,,X,1,,X,1,,X,1,,X,1,,X,1,
S004,3,1125,X,1,,18144,Y,0,Y,0,,X,1,,,,,X,1,,Y,0,,X,1,
S004,4,1015,Y,1,,10610,X,0,X,0,,Y,1,,X,0,,X,0,,Y,1,,X,0,
S004,5,1098,X,1,,16341,X,1,X,1,,Y,0,,,,,Y,0,,Y,0,,X,1,
S004,6,919,Y,1,,11895,X,0,X,0,,X,0,,Y,1,,Y,1,,Y,1,,X,0,
S004,7,1006,X,1,,24939,Y,0,Y,0,,X,1,,X,1,,X,1,,Y,0,,X,1,
S004,8,560,Y,0,,16609,X,1,X,1,,Y,0,,Y,0,,Y,0,,Y,0,,Y,0,
S004,9,1081,X,1,,14375,Y,0,Y,0,,X,1,,,,,X,1,,Y,0,,X,1,
S004,10,994,Y,0,,10145,X,1,X,1,,Y,0,,Y,0,,Y,0,,Y,0,,Y,0,
S004,11,778,X,1,,31060,X,1,X,1,,X,1,,X,1,,X,1,,X,1,,X,1,
S004,12,428,Y,0,,10154,X,1,X,1,,X,1,,X,1,,Y,0,,X,1,,X,1,
S004,13,869,X,1,,13089,X,1,X,1,,X,1,,Y,0,,X,1,,X,1,,Y,0,
S004,14,813,Y,0,,18579,X,1,X,1,,Y,0,,Y,0,,Y,0,,Y,0,,Y,0,
S004,15,1079,X,0,,11968,Y,1,Y,1,,Y,1,,,,,X,0,,X,0,,X,0,
S004,16,466,Y,0,,11865,X,1,X,1,,X,1,,X,1,,X,1,,X,1,,X,1,
S004,17,385,X,1,,6473,X,1,X,1,,X,1,,X,1,,X,1,,X,1,,X,1,
S004,18,916,Y,0,,9130,Y,0,Y,0,,X,1,,Y,0,,Y,0,,Y,0,,X,1,
S004,19,328,X,0,,8108,X,0,X,0,,X,0,,X,0,,X,0,,X,0,,X,0,
S004,20,266,Y,1,,21144,Y,1,Y,1,,Y,1,,Y,1,,Y,1,,Y,1,,Y,1,
S005,1,637,X,1,0,27068,X,1,X,1,1,X,1,0,Y,0,1,Y,0,1,X,1,0,X,1,1
S005,2,559,X,0,0,9941,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,1
S005,3,385,Y,0,0,20426,X,1,X,1,0,X,1,0,X,1,0,X,1,0,X,1,0,X,1,0
S005,4,967,X,1,0,20155,X,1,X,1,0,Y,0,0,Y,0,0,Y,0,1,X,1,0,X,1,1
S005,5,254,X,1,0,20712,X,1,X,1,0,X,1,0,X,1,0,X,1,1,X,1,0,X,1,0
S005,6,864,X,0,0,4663,X,0,X,0,1,Y,1,0,X,0,1,Y,1,1,Y,1,1,Y,1,1
S005,7,328,Y,1,0,18455,X,0,X,0,0,X,0,0,X,0,0,X,0,1,X,0,0,X,0,0
S005,8,400,X,1,0,3254,X,1,X,1,1,X,1,0,X,1,0,X,1,1,X,1,0,X,1,0
S005,9,354,Y,0,0,385,X,1,X,1,0,X,1,0,X,1,0,X,1,0,Y,0,0,X,1,0
S005,10,832,X,0,0,385,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,1
S005,11,506,Y,1,0,393,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,Y,1,0,Y,1,0
S005,12,333,X,0,0,362,X,0,X,0,0,X,0,0,X,0,0,X,0,1,X,0,0,X,0,1
S005,13,109,Y,0,0,406,Y,0,Y,0,1,Y,0,0,Y,0,0,Y,0,1,Y,0,0,Y,0,1
S005,14,395,X,0,0,404,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,X,0,0,Y,1,0
S005,15,670,Y,1,0,328,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,1
S005,16,106,X,0,0,197,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0
S005,17,82,Y,0,0,171,X,1,X,1,1,X,1,1,Y,0,0,Y,0,1,X,1,0,X,1,1
S005,18,814,X,1,0,360,X,1,X,1,0,X,1,0,X,1,0,X,1,0,X,1,0,X,1,1
S005,19,592,Y,0,0,399,X,1,X,1,0,X,1,0,X,1,0,X,1,1,X,1,0,X,1,1
S005,20,963,X,1,0,492,X,1,X,1,1,X,1,0,X,1,0,Y,0,1,Y,0,0,Y,0,1
S006,1,1088,X,0,0,36424,Y,1,Y,1,0,Y,1,0,X,0,1,Y,1,1,X,0,0,X,0,1
S006,2,296,X,1,0,6532,X,1,X,1,0,X,1,1,X,1,0,Y,0,1,X,1,0,X,1,0
S006,3,755,Y,0,0,16991,Y,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1,Y,0,0,Y,0,1
S006,4,450,Y,1,0,8025,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0
S006,5,750,X,1,0,11590,Y,0,Y,0,1,Y,0,1,Y,0,0,Y,0,1,Y,0,0,Y,0,1
S006,6,664,X,1,0,7167,X,1,X,1,0,X,1,0,Y,0,0,Y,0,1,X,1,0,Y,0,1
S006,7,777,X,1,0,27085,X,1,X,1,0,X,1,0,X,1,0,X,1,0,X,1,0,X,1,1
S006,8,399,X,0,0,5070,X,0,X,0,0,X,0,0,X,0,0,Y,1,1,Y,1,0,Y,1,1
S006,9,414,Y,1,0,16570,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0,X,0,1
S006,10,844,X,1,0,12113,X,1,X,1,0,X,1,0,X,1,0,X,1,1,Y,0,0,X,1,1
S006,11,234,X,1,0,6590,X,1,X,1,1,X,1,0,Y,0,0,X,1,1,X,1,0,X,1,1
S006,12,327,Y,0,0,11496,X,1,X,1,0,X,1,0,X,1,0,X,1,0,X,1,0,X,1,0
S006,13,277,X,1,0,16156,Y,0,Y,0,1,X,1,1,Y,0,0,Y,0,1,Y,0,0,Y,0,0
S006,14,631,X,1,0,5988,X,1,X,1,0,X,1,0,X,1,0,X,1,0,X,1,0,X,1,1
S006,15,934,X,0,0,9044,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,Y,1,0,Y,1,1
S006,16,478,X,1,0,10211,X,1,X,1,0,X,1,0,X,1,0,X,1,1,X,1,0,X,1,0
S006,17,1020,Y,1,0,11565,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,0,Y,1,1
S006,18,160,X,1,0,17122,X,1,X,1,0,X,1,0,X,1,0,X,1,1,X,1,0,X,1,1
S006,19,526,Y,1,0,13207,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,Y,1,0,Y,1,0
S006,20,615,Y,0,0,11561,Y,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,0,Y,0,1
S007,1,406,Y,1,,26606,X,0,X,0,,X,0,,Y,1,,X,0,,Y,1,,X,0,
S007,2,840,Y,1,,18773,Y,1,Y,1,,Y,1,,Y,1,,Y,1,,Y,1,,Y,1,
S007,3,530,X,0,,11177,X,0,X,0,,X,0,,X,0,,Y,1,,X,0,,X,0,
S007,4,433,X,1,,6115,X,1,X,1,,X,1,,X,1,,X,1,,X,1,,X,1,
S007,5,771,X,0,,8903,Y,1,Y,1,,X,0,,X,0,,X,0,,X,0,,X,0,
S007,6,414,Y,1,,15077,Y,1,Y,1,,Y,1,,Y,1,,Y,1,,Y,1,,Y,1,
S007,7,265,X,0,,16966,X,0,X,0,,X,0,,X,0,,X,0,,Y,1,,X,0,
S007,8,26,X,0,,9864,Y,1,Y,1,,Y,1,,Y,1,,Y,1,,Y,1,,Y,1,
S007,9,402,X,0,,11129,Y,1,Y,1,,Y,1,,Y,1,,Y,1,,Y,1,,X,0,
S007,10,475,Y,1,,10231,Y,1,Y,1,,Y,1,,Y,1,,Y,1,,Y,1,,Y,1,
S007,11,243,Y,1,,10074,Y,1,Y,1,,Y,1,,Y,1,,Y,1,,Y,1,,Y,1,
S007,12,870,X,0,,142950,Y,1,Y,1,,Y,1,,Y,1,,Y,1,,Y,1,,Y,1,
S007,13,752,X,1,,5959,X,1,X,1,,X,1,,X,1,,X,1,,X,1,,X,1,
S007,14,805,X,1,,4943,Y,0,Y,0,,Y,0,,Y,0,,Y,0,,X,1,,X,1,
S007,15,443,X,0,,9572,X,0,X,0,,Y,1,,X,0,,X,0,,X,0,,X,0,
S007,16,575,X,1,,4062,X,1,X,1,,X,1,,Y,0,,X,1,,Y,0,,Y,0,
S007,17,325,X,1,,5156,Y,0,Y,0,,Y,0,,Y,0,,Y,0,,Y,0,,X,1,
S007,18,169,X,1,,3360,X,1,X,1,,X,1,,X,1,,X,1,,X,1,,X,1,
S007,19,976,X,0,,9543,Y,1,Y,1,,X,0,,X,0,,X,0,,X,0,,X,0,
S007,20,183,Y,1,,6071,Y,1,Y,1,,X,0,,X,0,,X,0,,X,0,,X,0,
S008,1,976,Y,1,0,17140,Y,1,Y,1,1,X,0,0,X,0,0,X,0,0,X,0,0,X,0,1
S008,2,819,Y,0,0,7494,X,1,X,1,0,Y,0,0,X,1,1,Y,0,1,Y,0,0,Y,0,1
S008,3,969,X,0,0,5807,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,X,0,0,Y,1,1
S008,4,28,Y,1,0,30425,Y,1,Y,1,1,Y,1,1,Y,1,0,Y,1,1,Y,1,0,Y,1,1
S008,5,933,X,1,0,7507,X,1,X,1,0,X,1,0,X,1,0,X,1,1,X,1,0,X,1,1
S008,6,534,Y,0,0,7435,X,1,X,1,0,X,1,0,X,1,0,X,1,1,X,1,0,X,1,0
S008,7,894,X,0,0,7204,Y,1,Y,1,0,Y,1,0,Y,1,0,Y,1,1,Y,1,0,Y,1,1
S008,8,483,Y,1,0,7704,Y,1,Y,1,0,Y,1,0,X,0,0,Y,1,0,X,0,0,X,0,0
S008,9,843,X,1,0,30963,X,1,X,1,0,X,1,0,X,1,0,X,1,1,Y,0,0,X,1,1
S008,10,860,Y,0,0,10715,X,1,X,1,1,X,1,1,X,1,0,X,1,1,Y,0,1,X,1,1
S008,11,1081,Y,0,0,6886,Y,0,Y,0,1,X,1,0,Y,0,0,X,1,0,Y,0,0,X,1,1
S008,12,551,Y,1,0,6795,Y,1,Y,1,1,X,0,1,Y,1,0,Y,1,1,X,0,0,Y,1,1
S008,13,1063,Y,0,0,11410,X,1,X,1,0,X,1,1,X,1,1,Y,0,1,X,1,0,X,1,1
S008,14,890,Y,0,0,8537,X,1,X,1,0,X,1,1,X,1,0,X,1,1,X,1,0,X,1,1
S008,15,1040,X,0,0,4363,X,0,X,0,1,X,0,0,X,0,0,Y,1,1,Y,1,0,Y,1,1
S008,16,548,X,0,0,5457,Y,1,Y,1,1,X,0,0,X,0,0,X,0,1,X,0,0,X,0,1
S008,17,2,X,0,0,7095,Y,1,Y,1,0,Y,1,1,Y,1,0,Y,1,1,Y,1,0,X,0,0
S008,18,1016,Y,1,0,6761,Y,1,Y,1,0,Y,1,0,Y,1,0,X,0,1,Y,1,0,X,0,1
