pair_id,correct_answer,winner_reposts,loser_reposts,repost_margin,winner_loser_ratio,publication_gap_hours,handle,target,source_a_uri,source_b_uri
99c6d6b70861bf45,X,30,12,18,2.5,6.4126,washingtonpost.com,wapo.st/4gTmIr7,at://did:plc:k5nskatzhyxersjilvtnz4lh/app.bsky.feed.post/3mu22ezegbj23,at://did:plc:k5nskatzhyxersjilvtnz4lh/app.bsky.feed.post/3mu2puz4afx2d
b48e8db932628a36,Y,9,3,6,3.0,0.5705,wellborn.net,salon.com/2026/08/27/maga-influencers-are-still-paying-for-the-big-lie,at://did:plc:jjheidmljqrsatjic4e6hmm2/app.bsky.feed.post/3mu2rz7fq2s22,at://did:plc:jjheidmljqrsatjic4e6hmm2/app.bsky.feed.post/3mu2twg46ys2r
ed9d2e5411a6d08a,X,8,0,8,inf,0.4711,masalladelrelato.bsky.social,tinyurl.com/3562y67r,at://did:plc:oimw6wlt6vfksslvacjokf36/app.bsky.feed.post/3mu2j3fcbsk2r,at://did:plc:oimw6wlt6vfksslvacjokf36/app.bsky.feed.post/3mu2knwoi2c2r
bf348676f451bb04,Y,13,0,13,inf,0.042,mrclmb.ac.uk,mrclmb.ac.uk/news-events/articles/the-royal-society-awards-kelly-nguyen-francis-crick-medal,at://did:plc:fod5s5sjpftlmk4e2euu5hiq/app.bsky.feed.post/3mu2hau2yb22n,at://did:plc:fod5s5sjpftlmk4e2euu5hiq/app.bsky.feed.post/3mu2hfe5s5s2n
021ebc17b96e20ca,X,8,1,7,8.0,0.6384,liberation.fr,l.liberation.fr/HIU,at://did:plc:uo4didwt5qe4onrscbmqwvwm/app.bsky.feed.post/3mu37blhphk2s,at://did:plc:uo4didwt5qe4onrscbmqwvwm/app.bsky.feed.post/3mu3bg3dk322i
6df17087d0bd2e5a,Y,17,3,14,5.6667,0.0176,fife4europe.bsky.social,thelondoneconomic.com/politics/labour-can-be-much-more-pro-eu-without-losing-support-sir-john-curtis-409185,at://did:plc:oouj5xse6knq6qtggefzj6b5/app.bsky.feed.post/3mu33xbhfb22v,at://did:plc:oouj5xse6knq6qtggefzj6b5/app.bsky.feed.post/3mu33z5zbxc2v
a7accc58ca1bbd5f,X,12,0,12,inf,2.7745,bluevirginia.bsky.social,bluevirginia.us/2026/08/thursday-8-27-news-roundup-climate-crisis-likely-contributed-to-nepal-glacier-collapse-disaster-ratcliffe-went-to-moscow-to-warn-putin,at://did:plc:mlan7kocyn37uzb25btjt2cc/app.bsky.feed.post/3mu2qp5wods2m,at://did:plc:mlan7kocyn37uzb25btjt2cc/app.bsky.feed.post/3mu2zytjelk2x
faeb39c60b4d98bb,Y,9,2,7,4.5,0.2624,ninazeelen.bsky.social,bnnvara.nl/joop/artikelen/nederland-is-potentieel-autocratischer-dan-de-verenigde-staten,at://did:plc:ayagznj66cdicwhci2vfxitv/app.bsky.feed.post/3mtzzmifjgk2o,at://did:plc:ayagznj66cdicwhci2vfxitv/app.bsky.feed.post/3mu22in6tlk2o
46fb4d2e31cc4a6e,X,58,5,53,11.6,0.4341,404media.co,404media.co/three-years,at://did:plc:vcepp6trx4vpe5ourxso4tjl/app.bsky.feed.post/3mu376mf65223,at://did:plc:vcepp6trx4vpe5ourxso4tjl/app.bsky.feed.post/3mu3an6nrc226
26436ca5fcdff0a0,Y,13,4,9,3.25,2.005,wearequeeraf.com,wearequeeraf.com/understand-the-lgbtqia-news-what-are-the-challenges-facing-queer-journalism,at://did:plc:i7aox3qj5gv2bqvlclpwcw5u/app.bsky.feed.post/3mu2vtf2wu62z,at://did:plc:i7aox3qj5gv2bqvlclpwcw5u/app.bsky.feed.post/3mu34kivmye2j
7a180eb5a0aef28e,X,124,1,123,124.0,0.2678,komainukiratazaka.bsky.social,news.jp/i/1425310523326824480,at://did:plc:3qlbh4vywekida64m3dvna37/app.bsky.feed.post/3mu277n42ik2w,at://did:plc:3qlbh4vywekida64m3dvna37/app.bsky.feed.post/3mu2a4emv7s2w
7a96bdecc4fe6b67,Y,24,9,15,2.6667,5.5406,winslowsp.bsky.social,helloasso.com/associations/winslow-sante-publique/evenements/509-ppm-prevention-politique-musique,at://did:plc:eur2p72373ai6zpc3rhzvpsv/app.bsky.feed.post/3mu2mvjjccn25,at://did:plc:eur2p72373ai6zpc3rhzvpsv/app.bsky.feed.post/3mu37hwpek724
a4158652b8d568a0,X,13,3,10,4.3333,0.2498,falcom.co.jp,falcom.co.jp/sora2/special/tgs.html,at://did:plc:a62d6gt7y5ya2pkesufdporv/app.bsky.feed.post/3mtzz2pq6y22a,at://did:plc:a62d6gt7y5ya2pkesufdporv/app.bsky.feed.post/3mtzzvjbly225
dfe81560c03d66f8,Y,10,4,6,2.5,10.5906,lincolnsquare.media,bit.ly/4xkAFUt,at://did:plc:y6bpqeb35iqkw6bsn3g2j6pz/app.bsky.feed.post/3mtzzl2luvz2w,at://did:plc:y6bpqeb35iqkw6bsn3g2j6pz/app.bsky.feed.post/3mu353cntlt2d
2c6e492f00a9e196,X,28,10,18,2.8,0.019,dworkin.bsky.social,dworkinsubstack.com/p/trump-came-for-shelter-beds-the-airwaves,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu34rsxsms2m,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu34tu6qu22m
