pair_id,X,Y,correct_answer,winner_reposts,loser_reposts,repost_margin,winner_loser_ratio,publication_gap_hours,handle,target,source_a_uri,source_b_uri
99c6d6b70861bf45,"Yayoi Kusama, the Japanese artist who disappeared from public view for decades and found global recognition late in life through her polka-dot paintings and mirrored, Instagram-friendly “infinity rooms,” died Aug. 14 in Tokyo. She was 97. https://wapo.st/4gTmIr7","Yayoi Kusama, whose hypnotic, unconventional works propelled her from near-obscurity to a place in the world’s most prominent museums, has died at 97. https://wapo.st/4gTmIr7",X,30,12,18,2.5,6.4126,washingtonpost.com,wapo.st/4gTmIr7,at://did:plc:k5nskatzhyxersjilvtnz4lh/app.bsky.feed.post/3mu22ezegbj23,at://did:plc:k5nskatzhyxersjilvtnz4lh/app.bsky.feed.post/3mu2puz4afx2d
b48e8db932628a36,"The Justice Department is 0 for 23 on voter roll cases, unable to document the fraud epidemic it keeps invoking. The man who filmed the pictures that sold it settled with one of his mules and apologized. The federal apparatus is being built anyway.","To prove strangers can steal votes, O'Keefe put on a costume, faked an accent, and handed poll workers the name of a real registered voter who found out from the video. Nobody in the crew cast a ballot. Falsely signing that oath in Minnesota carries a five-year penalty.",Y,9,3,6,3.0,0.5705,wellborn.net,salon.com/2026/08/27/maga-influencers-are-still-paying-for-the-big-lie,at://did:plc:jjheidmljqrsatjic4e6hmm2/app.bsky.feed.post/3mu2rz7fq2s22,at://did:plc:jjheidmljqrsatjic4e6hmm2/app.bsky.feed.post/3mu2twg46ys2r
ed9d2e5411a6d08a,"😡 53 años. Imaginálo. Un funeral por día, sin parar. No dejemos que se normalice.

🪖 | El auténtico conflicto del genocidio de Israel. La mejor conferencia expuesta y resumida de la realidad en la guerra de Israel tinyurl.com/3562y67r

#freepalestine #gaza #israel #viral #bluesky","📌 Fuente noticia: Extraño video captando la formación de un círculo de las cosechas | t.me/masalladelrelato/3514

🪖 | El auténtico conflicto del genocidio de Israel. La mejor conferencia expuesta y resumida de la realidad en la guerra de Israel tinyurl.com/3562y67r

#noticias #freepalestine #israel",X,8,0,8,inf,0.4711,masalladelrelato.bsky.social,tinyurl.com/3562y67r,at://did:plc:oimw6wlt6vfksslvacjokf36/app.bsky.feed.post/3mu2j3fcbsk2r,at://did:plc:oimw6wlt6vfksslvacjokf36/app.bsky.feed.post/3mu2knwoi2c2r
bf348676f451bb04,"Congratulations to the former LMB Group Leaders awarded prizes from @royalsociety.org!
KJ Patel has received the Buchanan Medal and Sarah Teichmann (@teichlab.bsky.social) has been awarded the Gabor Medal.
Read more here: mrclmb.ac.uk/news-events/...
Image: The Royal Society
#LMBAlumni","Kelly Nguyen, Group Leader in the LMB’s Structural Studies Division, has been awarded the 2027 Francis Crick Medal and Lecture from @royalsociety.org.
Read more about @kellythd-nguyen.bsky.social’s research on telomerase here: mrclmb.ac.uk/news-events/...
#LMBNews",Y,13,0,13,inf,0.042,mrclmb.ac.uk,mrclmb.ac.uk/news-events/articles/the-royal-society-awards-kelly-nguyen-francis-crick-medal,at://did:plc:fod5s5sjpftlmk4e2euu5hiq/app.bsky.feed.post/3mu2hau2yb22n,at://did:plc:fod5s5sjpftlmk4e2euu5hiq/app.bsky.feed.post/3mu2hfe5s5s2n
021ebc17b96e20ca,"🔴 Débat présidentiel du Medef : Jean-Luc Mélenchon entend «arriver le plus vite possible» à la retraite à 60 ans

Suivre le direct ➡️ l.liberation.fr/HIU","🔴 Débat présidentiel du Medef : Marine Le Pen prévoit un plan d’économies de 125 milliards d’euros

Suivre le direct ➡️ l.liberation.fr/HIU",X,8,1,7,8.0,0.6384,liberation.fr,l.liberation.fr/HIU,at://did:plc:uo4didwt5qe4onrscbmqwvwm/app.bsky.feed.post/3mu37blhphk2s,at://did:plc:uo4didwt5qe4onrscbmqwvwm/app.bsky.feed.post/3mu3bg3dk322i
6df17087d0bd2e5a,Labour spending years tip-toeing around Brexit for fear of scaring off voters who didn't elect them anyway is top-tier strategy. It turns out avoiding the elephant in the room doesn't make it disappear—it just eats up all the electoral space. 🐘,"1/2 Cowering from closer EU ties out of fear of Leave voters makes little electoral sense. As Sir John Curtice points out, Labour’s base remains overwhelmingly pro-European, while attempts to appease Brexit voters haven't delivered. Isn't it time to embrace reality? 🇪🇺 #FBPE",Y,17,3,14,5.6667,0.0176,fife4europe.bsky.social,thelondoneconomic.com/politics/labour-can-be-much-more-pro-eu-without-losing-support-sir-john-curtis-409185,at://did:plc:oouj5xse6knq6qtggefzj6b5/app.bsky.feed.post/3mu33xbhfb22v,at://did:plc:oouj5xse6knq6qtggefzj6b5/app.bsky.feed.post/3mu33z5zbxc2v
a7accc58ca1bbd5f,EMILYs List Endorses @bethmacy.bsky.social for Virginia's 6th Congressional District in the Fight to Take Back the U.S. House Majority bluevirginia.us/2026/08/thur...,THIS is what AGs are bragging about? Hmmm... bluevirginia.us/2026/08/thur...,X,12,0,12,inf,2.7745,bluevirginia.bsky.social,bluevirginia.us/2026/08/thursday-8-27-news-roundup-climate-crisis-likely-contributed-to-nepal-glacier-collapse-disaster-ratcliffe-went-to-moscow-to-warn-putin,at://did:plc:mlan7kocyn37uzb25btjt2cc/app.bsky.feed.post/3mu2qp5wods2m,at://did:plc:mlan7kocyn37uzb25btjt2cc/app.bsky.feed.post/3mu2zytjelk2x
faeb39c60b4d98bb,"""De ministerraad wordt formeel benoemd door de vorige ministerraad. Motie van wantrouwen wordt traditioneel gezien als bindend. Dat is een gebruik, geen wet. Het electoraat en parlement hebben geen wettelijk middel om een ministerraad af te zetten. Ook de nucleaire optie van een shutdown ontbreekt.""","Executive Order

""In de laatste 40 jaar heeft de ministerraad veel meer bevoegdheden gekregen om bij ministerieel besluit of bij algemene maatregel van bestuur te besluiten. Dit alles gaat er vanuit dat het parlement de regering tegen zal werken als deze autocratisch wordt, dat is zeer de vraag.""",Y,9,2,7,4.5,0.2624,ninazeelen.bsky.social,bnnvara.nl/joop/artikelen/nederland-is-potentieel-autocratischer-dan-de-verenigde-staten,at://did:plc:ayagznj66cdicwhci2vfxitv/app.bsky.feed.post/3mtzzmifjgk2o,at://did:plc:ayagznj66cdicwhci2vfxitv/app.bsky.feed.post/3mu22in6tlk2o
46fb4d2e31cc4a6e,"From Flock to your privacy, at 404 Media, we are particularly focused on doing journalism that has real-world impact. That's all thanks to your continued support.

On Sept. 3rd and 4th, we want you to come party with us to celebrate our third anniversary. Join us: www.404media.co/three-years/",inside look at how the sausage gets made and join us at the party here: www.404media.co/three-years/,X,58,5,53,11.6,0.4341,404media.co,404media.co/three-years,at://did:plc:vcepp6trx4vpe5ourxso4tjl/app.bsky.feed.post/3mu376mf65223,at://did:plc:vcepp6trx4vpe5ourxso4tjl/app.bsky.feed.post/3mu3an6nrc226
26436ca5fcdff0a0,"The move follows the brand's growing pivot away from news and current affairs journalism, and towards celebrity and 'trending' topics. 

📩 Understand more: https://www.wearequeeraf.com/understand-the-lgbtqia-news-what-are-the-challenges-facing-queer-journalism/#%F0%9F%93%B0-pinknews-redundancies","The EHRC code “leaves insufficient scope for service providers to consider whether inclusive arrangements are lawful, justified and appropriate,” UN experts say

Source: https://www.wearequeeraf.com/understand-the-lgbtqia-news-what-are-the-challenges-facing-queer-journalism/#%F0%9F%8C%8D-un-warning",Y,13,4,9,3.25,2.005,wearequeeraf.com,wearequeeraf.com/understand-the-lgbtqia-news-what-are-the-challenges-facing-queer-journalism,at://did:plc:i7aox3qj5gv2bqvlclpwcw5u/app.bsky.feed.post/3mu2vtf2wu62z,at://did:plc:i7aox3qj5gv2bqvlclpwcw5u/app.bsky.feed.post/3mu34kivmye2j
